gene_symbol,study
GNGT1,Eichstaedt2014apriorilist
HIF1A,Eichstaedt2014apriorilist
HIF1AN,Eichstaedt2014apriorilist
HIF3A,Eichstaedt2014apriorilist
HIPK2,Eichstaedt2014apriorilist
HMOX1,Eichstaedt2014apriorilist
ICAM1,Eichstaedt2014apriorilist
IRAK1,Eichstaedt2014apriorilist
IREB2,Eichstaedt2014apriorilist
KCNK3,Eichstaedt2014apriorilist
LMNA,Eichstaedt2014apriorilist
MDM2,Eichstaedt2014apriorilist
MDM4,Eichstaedt2014apriorilist
MGARP,Eichstaedt2014apriorilist
MT3,Eichstaedt2014apriorilist
MTOR,Eichstaedt2014apriorilist
MYOCD,Eichstaedt2014apriorilist
NDRG1,Eichstaedt2014apriorilist
NKX3-1,Eichstaedt2014apriorilist
NOTCH1,Eichstaedt2014apriorilist
NPEPPS,Eichstaedt2014apriorilist
PDIA2,Eichstaedt2014apriorilist
PDK1,Eichstaedt2014apriorilist
PDK3,Eichstaedt2014apriorilist
PLK3,Eichstaedt2014apriorilist
PMAIP1,Eichstaedt2014apriorilist
PRKAA1,Eichstaedt2014apriorilist
PRKCE,Eichstaedt2014apriorilist
PTGIS,Eichstaedt2014apriorilist
PTGS2,Eichstaedt2014apriorilist
RBX1,Eichstaedt2014apriorilist
RGCC,Eichstaedt2014apriorilist
RPS27A,Eichstaedt2014apriorilist
S100B,Eichstaedt2014apriorilist
SFRP1,Eichstaedt2014apriorilist
SIRT1,Eichstaedt2014apriorilist
SLC29A1,Eichstaedt2014apriorilist
STC1,Eichstaedt2014apriorilist
STC2,Eichstaedt2014apriorilist
TCEB1,Eichstaedt2014apriorilist
TCEB2,Eichstaedt2014apriorilist
TP53,Eichstaedt2014apriorilist
TWIST1,Eichstaedt2014apriorilist
UBA52,Eichstaedt2014apriorilist
UBB,Eichstaedt2014apriorilist
UBC,Eichstaedt2014apriorilist
UBE2D1,Eichstaedt2014apriorilist
UBE2D2,Eichstaedt2014apriorilist
UBE2D3,Eichstaedt2014apriorilist
UBQLN1,Eichstaedt2014apriorilist
UCN2,Eichstaedt2014apriorilist
UCN3,Eichstaedt2014apriorilist
USP19,Eichstaedt2014apriorilist
VEGFA,Eichstaedt2014apriorilist
VHL,Eichstaedt2014apriorilist
GUCY1A2,Eichstaedt2014apriorilist
GUCY1A3,Eichstaedt2014apriorilist
GUCY1B2,Eichstaedt2014apriorilist
GUCY1B3,Eichstaedt2014apriorilist
ITPR1,Eichstaedt2014apriorilist
KCNMA1,Eichstaedt2014apriorilist
KCNMB1,Eichstaedt2014apriorilist
KCNMB2,Eichstaedt2014apriorilist
KCNMB3,Eichstaedt2014apriorilist
KCNMB4,Eichstaedt2014apriorilist
MRVI1,Eichstaedt2014apriorilist
NOS1,Eichstaedt2014apriorilist
NOS2,Eichstaedt2014apriorilist
NOS3,Eichstaedt2014apriorilist
PDE10A,Eichstaedt2014apriorilist
PDE11A,Eichstaedt2014apriorilist
PDE1A,Eichstaedt2014apriorilist
PDE1B,Eichstaedt2014apriorilist
PDE2A,Eichstaedt2014apriorilist
PDE3A,Eichstaedt2014apriorilist
PDE3B,Eichstaedt2014apriorilist
PDE5A,Eichstaedt2014apriorilist
PDE6A,Eichstaedt2014apriorilist
PDE6B,Eichstaedt2014apriorilist
PDE6G,Eichstaedt2014apriorilist
PDE9A,Eichstaedt2014apriorilist
PRKG1,Eichstaedt2014apriorilist
PRKG2,Eichstaedt2014apriorilist
AGAP3,Eichstaedt2014apriorilist
AKR1C3,Eichstaedt2014apriorilist
ANXA1,Eichstaedt2014apriorilist
APEX1,Eichstaedt2014apriorilist
APOA4,Eichstaedt2014apriorilist
ARG1,Eichstaedt2014apriorilist
ATP7A,Eichstaedt2014apriorilist
CAT,Eichstaedt2014apriorilist
CCS,Eichstaedt2014apriorilist
CD36,Eichstaedt2014apriorilist
CDK1,Eichstaedt2014apriorilist
CDK2,Eichstaedt2014apriorilist
CRYGD,Eichstaedt2014apriorilist
CST3,Eichstaedt2014apriorilist
DPEP1,Eichstaedt2014apriorilist
DUOX1,Eichstaedt2014apriorilist
DUOX2,Eichstaedt2014apriorilist
ECT2,Eichstaedt2014apriorilist
EPX,Eichstaedt2014apriorilist
ETS1,Eichstaedt2014apriorilist
FANCC,Eichstaedt2014apriorilist
FBLN5,Eichstaedt2014apriorilist
FER,Eichstaedt2014apriorilist
FOS,Eichstaedt2014apriorilist
FOXO1,Eichstaedt2014apriorilist
FXN,Eichstaedt2014apriorilist
GPX1,Eichstaedt2014apriorilist
GPX3,Eichstaedt2014apriorilist
HBA1,Eichstaedt2014apriorilist
HBB,Eichstaedt2014apriorilist
HDAC6,Eichstaedt2014apriorilist
HGF,Eichstaedt2014apriorilist
HP,Eichstaedt2014apriorilist
IL18,Eichstaedt2014apriorilist
IL18BP,Eichstaedt2014apriorilist
IL6,Eichstaedt2014apriorilist
KLF2,Eichstaedt2014apriorilist
LCN2,Eichstaedt2014apriorilist
LPO,Eichstaedt2014apriorilist
MAP3K5,Eichstaedt2014apriorilist
MAPK7,Eichstaedt2014apriorilist
MET,Eichstaedt2014apriorilist
MPO,Eichstaedt2014apriorilist
MPV17,Eichstaedt2014apriorilist
NET1,Eichstaedt2014apriorilist
NFE2L2,Eichstaedt2014apriorilist
PARK7,Eichstaedt2014apriorilist
PAX2,Eichstaedt2014apriorilist
PDK2,Eichstaedt2014apriorilist
PLEKHA1,Eichstaedt2014apriorilist
PPARGC1B,Eichstaedt2014apriorilist
PPIF,Eichstaedt2014apriorilist
PRDX1,Eichstaedt2014apriorilist
PRDX2,Eichstaedt2014apriorilist
PRDX3,Eichstaedt2014apriorilist
PRDX5,Eichstaedt2014apriorilist
PRDX6,Eichstaedt2014apriorilist
PTPRK,Eichstaedt2014apriorilist
PXDN,Eichstaedt2014apriorilist
PXDNL,Eichstaedt2014apriorilist
PXN,Eichstaedt2014apriorilist
RHOB,Eichstaedt2014apriorilist
ROMO1,Eichstaedt2014apriorilist
SFTPC,Eichstaedt2014apriorilist
SLC8A1,Eichstaedt2014apriorilist
SOD1,Eichstaedt2014apriorilist
SOD2,Eichstaedt2014apriorilist
SOD3,Eichstaedt2014apriorilist
TNFAIP3,Eichstaedt2014apriorilist
TPM1,Eichstaedt2014apriorilist
TPO,Eichstaedt2014apriorilist
TXNRD1,Eichstaedt2014apriorilist
ACE,Eichstaedt2014apriorilist
ACE2,Eichstaedt2014apriorilist
AGT,Eichstaedt2014apriorilist
ANPEP,Eichstaedt2014apriorilist
ATP6AP2,Eichstaedt2014apriorilist
CMA1,Eichstaedt2014apriorilist
CPA3,Eichstaedt2014apriorilist
CTSD,Eichstaedt2014apriorilist
CTSG,Eichstaedt2014apriorilist
CTSZ,Eichstaedt2014apriorilist
ENPEP,Eichstaedt2014apriorilist
GZMH,Eichstaedt2014apriorilist
MME,Eichstaedt2014apriorilist
REN,Eichstaedt2014apriorilist
FIGF,Eichstaedt2014apriorilist
FLT1,Eichstaedt2014apriorilist
FLT4,Eichstaedt2014apriorilist
KDR,Eichstaedt2014apriorilist
NRP1,Eichstaedt2014apriorilist
NRP2,Eichstaedt2014apriorilist
PDGFC,Eichstaedt2014apriorilist
PGF,Eichstaedt2014apriorilist
VEGFB,Eichstaedt2014apriorilist
VEGFC,Eichstaedt2014apriorilist
C11orf20,Eichstaedt2014
KCNK4,Eichstaedt2014
RPS6KA4,Eichstaedt2014
VEGFB,Eichstaedt2014
PRDX5,Eichstaedt2014
CCDC88B,Eichstaedt2014
DNAJC4,Eichstaedt2014
Y_RNA,Eichstaedt2014
BAD,Eichstaedt2014
ESRRA,Eichstaedt2014
RP11-783K16.5,Eichstaedt2014
AP003774.7,Eichstaedt2014
AP003774.1,Eichstaedt2014
AP003774.6,Eichstaedt2014
TRMT112,Eichstaedt2014
MIR1237,Eichstaedt2014
RP11-783K16.10,Eichstaedt2014
PPP1R14B,Eichstaedt2014
AP003774.5,Eichstaedt2014
GPR137,Eichstaedt2014
FKBP2,Eichstaedt2014
PLCB3,Eichstaedt2014
RP11-783K16.13,Eichstaedt2014
RP11-783K16.14,Eichstaedt2014
CYP39A1,Eichstaedt2014
RCAN2,Eichstaedt2014
RP3-347E1.2,Eichstaedt2014
RP11-795J1.2,Eichstaedt2014
RP11-795J1.1,Eichstaedt2014
DHX16,Eichstaedt2014
ATAT1,Eichstaedt2014
C6orf136,Eichstaedt2014
TUBB,Eichstaedt2014
NRM,Eichstaedt2014
HCG20,Eichstaedt2014
FLOT1,Eichstaedt2014
MDC1,Eichstaedt2014
IER3,Eichstaedt2014
PPP1R18,Eichstaedt2014
PTMAP1,Eichstaedt2014
LINC00243,Eichstaedt2014
RPL7P4,Eichstaedt2014
MDC1-AS1,Eichstaedt2014
PYGM,Eichstaedt2014
MEN1,Eichstaedt2014
AP001092.5,Eichstaedt2014
RASGRP2,Eichstaedt2014
AP001092.4,Eichstaedt2014
NRXN2,Eichstaedt2014
CDC42BPG,Eichstaedt2014
MAP4K2,Eichstaedt2014
SF1,Eichstaedt2014
NAT6,Eichstaedt2014
U73167.7,Eichstaedt2014
ZMYND10,Eichstaedt2014
SEMA3B,Eichstaedt2014
HYAL2,Eichstaedt2014
SEMA3F,Eichstaedt2014
CYB561D2,Eichstaedt2014
RASSF1,Eichstaedt2014
NPRL2,Eichstaedt2014
TUSC2,Eichstaedt2014
GNAT1,Eichstaedt2014
ZMYND10-AS1,Eichstaedt2014
SLC38A3,Eichstaedt2014
GNAI2,Eichstaedt2014
HYAL3,Eichstaedt2014
TMEM115,Eichstaedt2014
HYAL1,Eichstaedt2014
MIR566,Eichstaedt2014
U73169.1,Eichstaedt2014
U73166.2,Eichstaedt2014
C3orf45,Eichstaedt2014
IFRD2,Eichstaedt2014
RP11-476J6.1,Eichstaedt2014
RP11-479H16.1,Eichstaedt2014
IL17F,Eichstaedt2014
MCM3,Eichstaedt2014
MIR206,Eichstaedt2014
RP11-771D21.2,Eichstaedt2014
IL17A,Eichstaedt2014
MIR133B,Eichstaedt2014
SLC25A20P1,Eichstaedt2014
CRISP3,Eichstaedt2014
RHAG,Eichstaedt2014
CRISP2,Eichstaedt2014
RP3-417L20.3,Eichstaedt2014
RP11-719J20.1,Eichstaedt2014
PGK2,Eichstaedt2014
RP3-417L20.4,Eichstaedt2014
7SK,Eichstaedt2014
MUC3A,Eichstaedt2014
MUC12,Eichstaedt2014
RP11-395B7.2,Eichstaedt2014
MUC17,Eichstaedt2014
TRIM56,Eichstaedt2014
RP11-395B7.4,Eichstaedt2014
SERPINE1,Eichstaedt2014
AP1S1,Eichstaedt2014
U6,Eichstaedt2014
RP4-756G23.5,Eichstaedt2014
RANGAP1,Eichstaedt2014
ZC3H7B,Eichstaedt2014
TEF,Eichstaedt2014
CHADL,Eichstaedt2014
L3MBTL2,Eichstaedt2014
AP005273.1,Eichstaedt2014
AP006288.1,Eichstaedt2014
SLC22A12,Eichstaedt2014
SLC22A11,Eichstaedt2014
AP003774.4,Eichstaedt2014
MRPL49,Eichstaedt2014
CAPN1,Eichstaedt2014
HIGD1AP10,Eichstaedt2014
FAU,Eichstaedt2014
TM7SF2,Eichstaedt2014
PGAM1P8,Eichstaedt2014
AP003068.9,Eichstaedt2014
ZFPL1,Eichstaedt2014
AP003068.17,Eichstaedt2014
SPDYC,Eichstaedt2014
AP003068.18,Eichstaedt2014
CDCA5,Eichstaedt2014
AP003068.23,Eichstaedt2014
SNX15,Eichstaedt2014
SLC22A20,Eichstaedt2014
SAC3D1,Eichstaedt2014
NAALADL1,Eichstaedt2014
AP003068.12,Eichstaedt2014
AP003068.6,Eichstaedt2014
U2,Eichstaedt2014
ZNHIT2,Eichstaedt2014
SYVN1,Eichstaedt2014
C11orf2,Eichstaedt2014
RP3-354N19.3,Eichstaedt2014
FAM184A,Eichstaedt2014
MAN1A1,Eichstaedt2014
RP3-354N19.1,Eichstaedt2014
PLXNA4,Eichstaedt2014
AC018643.4,Eichstaedt2014
STC2,Eichstaedt2014
RPL7AP33,Eichstaedt2014
AC106731.1,Eichstaedt2014
AC008412.1,Eichstaedt2014
5S_rRNA,Eichstaedt2014
NKX2-5,Eichstaedt2014
PANK4,Eichstaedt2014
RP13-436F16.1,Eichstaedt2014
RP3-395M20.9,Eichstaedt2014
MMEL1,Eichstaedt2014
RP3-395M20.3,Eichstaedt2014
RP3-395M20.8,Eichstaedt2014
TTC34,Eichstaedt2014
RP3-395M20.7,Eichstaedt2014
RP3-395M20.2,Eichstaedt2014
PLCH2,Eichstaedt2014
C1orf93,Eichstaedt2014
TNFRSF14,Eichstaedt2014
HES5,Eichstaedt2014
MACROD1,Eichstaedt2014
RP11-21A7A.3,Eichstaedt2014
RP11-21A7A.4,Eichstaedt2014
STIP1,Eichstaedt2014
FLRT1,Eichstaedt2014
RP11-21A7A.2,Eichstaedt2014
NUDT22,Eichstaedt2014
TRPT1,Eichstaedt2014
FERMT3,Eichstaedt2014
AC133680.1,Eichstaedt2014
FTLP10,Eichstaedt2014
TMPRSS11BNL,Eichstaedt2014
RP11-642E20.3,Eichstaedt2014
RP11-642E20.5,Eichstaedt2014
RP11-642E20.2,Eichstaedt2014
RP11-453E17.3,Eichstaedt2014
YTHDC1,Eichstaedt2014
TMPRSS11B,Eichstaedt2014
RP11-642E20.4,Eichstaedt2014
BNIP1,Eichstaedt2014
ATP6V0E1,Eichstaedt2014
CTC-209H22.2,Eichstaedt2014
SNORA74B,Eichstaedt2014
CTC-308K20.3,Eichstaedt2014
CTC-308K20.4,Eichstaedt2014
CTC-209H22.3,Eichstaedt2014
C5orf41,Eichstaedt2014
GBAP1,Eichstaedt2014
TRIM46,Eichstaedt2014
SLC50A1,Eichstaedt2014
KRTCAP2,Eichstaedt2014
DPM3,Eichstaedt2014
RP11-263K19.4,Eichstaedt2014
RP11-307C12.11,Eichstaedt2014
HMGN2P18,Eichstaedt2014
MTX1,Eichstaedt2014
ADAM15,Eichstaedt2014
MIR92B,Eichstaedt2014
MUC1,Eichstaedt2014
RP11-540D14.8,Eichstaedt2014
RP11-540D14.6,Eichstaedt2014
DCST1,Eichstaedt2014
DCST2,Eichstaedt2014
RP11-263K19.6,Eichstaedt2014
EFNA3,Eichstaedt2014
THBS3,Eichstaedt2014
EFNA1,Eichstaedt2014
EFNA4,Eichstaedt2014
U7,Eichstaedt2014
PTPRO,Eichstaedt2014
EPS8,Eichstaedt2014
RP11-191L9.5,Eichstaedt2014
RP11-191L9.4,Eichstaedt2014
RP11-191L9.6,Eichstaedt2014
AC099552.4,Eichstaedt2014
AC093726.4,Eichstaedt2014
HTR5A,Eichstaedt2014
AC092628.3,Eichstaedt2014
AC099552.3,Eichstaedt2014
ERVH48-1,Eichstaedt2014
AP001630.5,Eichstaedt2014
WDR4,Eichstaedt2014
AP001628.6,Eichstaedt2014
PKNOX1,Eichstaedt2014
AP001630.1,Eichstaedt2014
NDUFV3,Eichstaedt2014
AP001628.7,Eichstaedt2014
MX2,Eichstaedt2014
LINC00202,Eichstaedt2014
C10orf52,Eichstaedt2014
YME1L1,Eichstaedt2014
ANKRD26,Eichstaedt2014
SLCO1B3,Eichstaedt2014
SLCO1B7,Eichstaedt2014
RP11-545J16.1,Eichstaedt2014
PKHD1,Eichstaedt2014
AL121946.1,Eichstaedt2014
AP003419.11,Eichstaedt2014
ADRBK1,Eichstaedt2014
ANKRD13D,Eichstaedt2014
SSH3,Eichstaedt2014
RPS6KB2,Eichstaedt2014
AP003419.16,Eichstaedt2014
POLD4,Eichstaedt2014
TBC1D10C,Eichstaedt2014
KDM2A,Eichstaedt2014
CARNS1,Eichstaedt2014
AP003419.15,Eichstaedt2014
CLCF1,Eichstaedt2014
PPP1CA,Eichstaedt2014
RAD9A,Eichstaedt2014
EIF4A1,Eichstaedt2014
SNORD10,Eichstaedt2014
TP53,Eichstaedt2014
SNORA67,Eichstaedt2014
SOX15,Eichstaedt2014
TNFSF12-TNFSF13,Eichstaedt2014
SENP3,Eichstaedt2014
TNFSF13,Eichstaedt2014
WRAP53,Eichstaedt2014
CD68,Eichstaedt2014
SHBG,Eichstaedt2014
TNFSF12,Eichstaedt2014
snoU13,Eichstaedt2014
POLR2A,Eichstaedt2014
MPDU1,Eichstaedt2014
SNORA48,Eichstaedt2014
AC007421.1,Eichstaedt2014
ATP1B2,Eichstaedt2014
FXR2,Eichstaedt2014
AC113189.5,Eichstaedt2014
SAT2,Eichstaedt2014
RP11-10A2.1,Eichstaedt2014
ABI1,Eichstaedt2014
PDSS1,Eichstaedt2014
RP13-16H11.5,Eichstaedt2014
SNORA57,Eichstaedt2014
RP13-16H11.6,Eichstaedt2014
AL133510.1,Eichstaedt2014
RP11-193H22.2,Eichstaedt2014
ZDHHC14,Eichstaedt2014
RP11-386D6.2,Eichstaedt2014
CNBD1,Eichstaedt2014
STARP1,Eichstaedt2014
CD19,Eichstaedt2014
SH2B1,Eichstaedt2014
AC109460.2,Eichstaedt2014
TUFM,Eichstaedt2014
ATP2A1,Eichstaedt2014
AC145285.1,Eichstaedt2014
LAT,Eichstaedt2014
ATXN2L,Eichstaedt2014
RP11-1348G14.1,Eichstaedt2014
NFATC2IP,Eichstaedt2014
SNORA43,Eichstaedt2014
SPNS1,Eichstaedt2014
RABEP2,Eichstaedt2014
SYNJ2,Eichstaedt2014
SERAC1,Eichstaedt2014
SYNJ2-IT1,Eichstaedt2014
GTF2H5,Eichstaedt2014
OVOL1,Eichstaedt2014
SIPA1,Eichstaedt2014
RELA,Eichstaedt2014
RP11-770G2.4,Eichstaedt2014
AP001266.1,Eichstaedt2014
RP11-770G2.2,Eichstaedt2014
CFL1,Eichstaedt2014
KAT5,Eichstaedt2014
RP11-770G2.5,Eichstaedt2014
AP001362.1,Eichstaedt2014
PCNXL3,Eichstaedt2014
KRT8P26,Eichstaedt2014
RP11-770G2.3,Eichstaedt2014
RNASEH2C,Eichstaedt2014
RP11-732M18.2,Eichstaedt2014
TULP4,Eichstaedt2014
AL360169.2,Eichstaedt2014
TMEM181,Eichstaedt2014
AL360169.1,Eichstaedt2014
RP11-107N4.1,Eichstaedt2014
RP11-479J7.1,Eichstaedt2014
FMO9P,Eichstaedt2014
RP11-276E17.2,Eichstaedt2014
FMO7P,Eichstaedt2014
FMO8P,Eichstaedt2014
TRNAV37P,Eichstaedt2014
RP11-518I13.1,Eichstaedt2014
RP11-230C9.1,Eichstaedt2014
CSDC2,Eichstaedt2014
PPPDE2,Eichstaedt2014
PMM1,Eichstaedt2014
ACO2,Eichstaedt2014
POLR3H,Eichstaedt2014
PHF5A,Eichstaedt2014
TOB2,Eichstaedt2014
CBLL1,Eichstaedt2014
DLD,Eichstaedt2014
SLC26A3,Eichstaedt2014
LAMB1,Eichstaedt2014
AC005046.5,Eichstaedt2014
RP11-461K13.1,Eichstaedt2014
MUC22,Eichstaedt2014
XXbac-BPG27H4.8,Eichstaedt2014
MUC21,Eichstaedt2014
VARS2,Eichstaedt2014
DPCR1,Eichstaedt2014
GTF2H4,Eichstaedt2014
TIGD1L,Eichstaedt2014
DDR1,Eichstaedt2014
HCG21,Eichstaedt2014
SFTA2,Eichstaedt2014
TBX5,Eichstaedt2014
RP11-139B1.1,Eichstaedt2014
GCOM1,Eichstaedt2014
CGNL1,Eichstaedt2014
GRINL1A,Eichstaedt2014
CTD-2515H24.1,Eichstaedt2014
SUV420H1,Eichstaedt2014
AP002992.1,Eichstaedt2014
TCIRG1,Eichstaedt2014
NDUFS8,Eichstaedt2014
CHKA,Eichstaedt2014
CTD-2655K5.1,Eichstaedt2014
RP11-802E16.3,Eichstaedt2014
AC011625.1,Eichstaedt2014
FCHSD1,Eichstaedt2014
HDAC3,Eichstaedt2014
AC008781.7,Eichstaedt2014
RELL2,Eichstaedt2014
ARAP3,Eichstaedt2014
RP11-260M19.1,Eichstaedt2014
RP11-614O9.3,Eichstaedt2014
AL512362.1,Eichstaedt2014
CTB-158E9.2,Eichstaedt2014
CTD-2568P10.1,Eichstaedt2014
SAP30L,Eichstaedt2014
GALNT10,Eichstaedt2014
CTB-158E9.1,Eichstaedt2014
CTB-157D17.1,Eichstaedt2014
HAND1,Eichstaedt2014
CTD-2350J17.1,Eichstaedt2014
FBXL7,Eichstaedt2014
GPR110,Eichstaedt2014
TNFRSF21,Eichstaedt2014
CASP8AP2,Eichstaedt2014
RP11-63K6.4,Eichstaedt2014
MDN1,Eichstaedt2014
RP11-63K6.5,Eichstaedt2014
RP11-29C12.1,Eichstaedt2014
RP11-63K6.1,Eichstaedt2014
FBXO21,Eichstaedt2014
FBXW8,Eichstaedt2014
TESC,Eichstaedt2014
RP11-103B5.2,Eichstaedt2014
RP11-231I16.1,Eichstaedt2014
SNORD28,Eichstaedt2014
AC084193.1,Eichstaedt2014
XKR6,Eichstaedt2014
CTD-2135J3.4,Eichstaedt2014
PINX1,Eichstaedt2014
CTD-2135J3.3,Eichstaedt2014
SOX7,Eichstaedt2014
RP11-177H2.2,Eichstaedt2014
SNORD112,Eichstaedt2014
STRADBP1,Eichstaedt2014
AC069304.1,Eichstaedt2014
GIMAP4,Eichstaedt2014
ALDH7A1P3,Eichstaedt2014
GIMAP6,Eichstaedt2014
GIMAP7,Eichstaedt2014
GIMAP2,Eichstaedt2014
RP11-632K21.3,Eichstaedt2014
LHFP,Eichstaedt2014
TINF2,Eichstaedt2014
IRF9,Eichstaedt2014
MDP1,Eichstaedt2014
TSSK4,Eichstaedt2014
DHRS1,Eichstaedt2014
RP11-468E2.1,Eichstaedt2014
C14orf21,Eichstaedt2014
IPO4,Eichstaedt2014
LTB4R2,Eichstaedt2014
LTB4R,Eichstaedt2014
CHMP4A,Eichstaedt2014
PSME1,Eichstaedt2014
RP11-468E2.6,Eichstaedt2014
NEDD8-MDP1,Eichstaedt2014
NEDD8,Eichstaedt2014
CIDEB,Eichstaedt2014
PSME2,Eichstaedt2014
REC8,Eichstaedt2014
FAM158A,Eichstaedt2014
GMPR2,Eichstaedt2014
RNF31,Eichstaedt2014
TM9SF1,Eichstaedt2014
ADCY4,Eichstaedt2014
TGM1,Eichstaedt2014
RABGGTA,Eichstaedt2014
RP11-468E2.2,Eichstaedt2014
RP11-468E2.4,Eichstaedt2014
RP11-468E2.5,Eichstaedt2014
FITM1,Eichstaedt2014
PTGFR,Eichstaedt2014
RN5S23,Eichstaedt2014
RP11-183M13.1,Eichstaedt2014
RP11-471J12.1,Eichstaedt2014
HAND2,Eichstaedt2014
RANP6,Eichstaedt2014
MORF4,Eichstaedt2014
MUT,Eichstaedt2014
CYP2AC1P,Eichstaedt2014
C6orf141,Eichstaedt2014
CENPQ,Eichstaedt2014
GLYATL3,Eichstaedt2014
ARAP1,Eichstaedt2014
ARAP1-AS1,Eichstaedt2014
RP11-169D4.2,Eichstaedt2014
PDE2A,Eichstaedt2014
MIR139,Eichstaedt2014
AP005019.4,Eichstaedt2014
RP11-169D4.1,Eichstaedt2014
RP11-31L22.3,Eichstaedt2014
RP11-776A13.3,Eichstaedt2014
RP11-155I9.1,Eichstaedt2014
GPR176,Eichstaedt2014
RP11-37C7.1,Eichstaedt2014
RP11-37C7.2,Eichstaedt2014
FSIP1,Eichstaedt2014
C8orf12,Eichstaedt2014
BLK,Eichstaedt2014
AF131216.1,Eichstaedt2014
TDH,Eichstaedt2014
FAM167A,Eichstaedt2014
AF131216.5,Eichstaedt2014
UBA52P7,Eichstaedt2014
RP11-1028N23.3,Eichstaedt2014
RP11-1028N23.2,Eichstaedt2014
AC009803.1,Eichstaedt2014
RP11-110L15.1,Eichstaedt2014
RP11-1028N23.4,Eichstaedt2014
FAM19A1,Eichstaedt2014
MIR25,Eichstaedt2014
MBLAC1,Eichstaedt2014
COPS6,Eichstaedt2014
MIR93,Eichstaedt2014
TAF6,Eichstaedt2014
GATS,Eichstaedt2014
CNPY4,Eichstaedt2014
AC073842.18,Eichstaedt2014
RP11-506M12.1,Eichstaedt2014
ZKSCAN1,Eichstaedt2014
AP4M1,Eichstaedt2014
GPC2,Eichstaedt2014
MIR106B,Eichstaedt2014
GAL3ST4,Eichstaedt2014
ZSCAN21,Eichstaedt2014
ZNF3,Eichstaedt2014
AC073842.19,Eichstaedt2014
MCM7,Eichstaedt2014
C7orf43,Eichstaedt2014
C7orf59,Eichstaedt2014
STAG3,Eichstaedt2014
RP11-434O22.1,Eichstaedt2014
RP11-73E17.2,Eichstaedt2014
RP11-73E17.1,Eichstaedt2014
RP11-85K15.2,Eichstaedt2014
BAZ1A,Eichstaedt2014
RNU7-41P,Eichstaedt2014
RP11-73E17.3,Eichstaedt2014
RP1-50J22.4,Eichstaedt2014
BRPF3,Eichstaedt2014
ETV7,Eichstaedt2014
PNPLA1,Eichstaedt2014
C6orf222,Eichstaedt2014
PXT1,Eichstaedt2014
ATP11B,Eichstaedt2014
RP11-225N10.1,Eichstaedt2014
RP11-646E18.3,Eichstaedt2014
PKIB,Eichstaedt2014
SERINC1,Eichstaedt2014
RP11-574H13.2,Eichstaedt2014
Z99129.1,Eichstaedt2014
ZC3HAV1,Eichstaedt2014
ZC3HAV1L,Eichstaedt2014
KIAA1549,Eichstaedt2014
RP11-383F6.1,Eichstaedt2014
RAP1GDS1,Eichstaedt2014
TSPAN5,Eichstaedt2014
RP11-810D13.1,Eichstaedt2014
AC018814.1,Eichstaedt2014
RP11-96J19.3,Eichstaedt2014
RP11-96J19.1,Eichstaedt2014
RP3-483K16.2,Eichstaedt2014
RP11-96J19.2,Eichstaedt2014
ELOVL5,Eichstaedt2014
RP1-27K12.4,Eichstaedt2014
RP3-483K16.3,Eichstaedt2014
GCLC,Eichstaedt2014
AL591034.1,Eichstaedt2014
RNU1-23P,Eichstaedt2014
RP4-564O4.1,Eichstaedt2014
RP5-1100I6.2,Eichstaedt2014
GIPC2,Eichstaedt2014
RP11-472F19.1,Eichstaedt2014
RP11-472F19.2,Eichstaedt2014
RP11-84O12.3,Eichstaedt2014
GPR88,Eichstaedt2014
VCAM1,Eichstaedt2014
RP11-84O12.4,Eichstaedt2014
RP11-84O12.2,Eichstaedt2014
RP11-96H19.1,Eichstaedt2014
SLC38A1,Eichstaedt2014
SLC38A2,Eichstaedt2014
RP11-474P2.2,Eichstaedt2014
RP11-474P2.4,Eichstaedt2014
AC009121.1,Eichstaedt2014
MIR548H2,Eichstaedt2014
RMI2,Eichstaedt2014
AC099489.1,Eichstaedt2014
NXT1P1,Eichstaedt2014
PROSER1,Eichstaedt2014
NHLRC3,Eichstaedt2014
LIMCH1,Eichstaedt2014
EMP2,Eichstaedt2014
TEKT5,Eichstaedt2014
RP11-27M24.1,Eichstaedt2014
AC073257.1,Eichstaedt2014
AC073257.2,Eichstaedt2014
CCT7P1,Eichstaedt2014
RP11-244K5.1,Eichstaedt2014
RAET1G,Eichstaedt2014
ULBP3,Eichstaedt2014
ULBP2,Eichstaedt2014
PHBP1,Eichstaedt2014
ULBP1,Eichstaedt2014
RP11-472G23.10,Eichstaedt2014
RP11-350J20.9,Eichstaedt2014
RP11-472G23.3,Eichstaedt2014
RAET1L,Eichstaedt2014
RP11-244K5.3,Eichstaedt2014
RP11-244K5.6,Eichstaedt2014
RAET1E,Eichstaedt2014
RP11-244K5.4,Eichstaedt2014
BTF3P10,Eichstaedt2014
RP11-244K5.7,Eichstaedt2014
RP11-472G23.6,Eichstaedt2014
RAET1K,Eichstaedt2014
RP5-972B16.2,Eichstaedt2014
RNU7-7P,Eichstaedt2014
TSPAN7,Eichstaedt2014
ARHGAP25,Eichstaedt2014
PROKR1,Eichstaedt2014
APLF,Eichstaedt2014
ENOX2,Eichstaedt2014
EYS,Eichstaedt2014
RP11-69I22.2,Eichstaedt2014
AC090505.3,Eichstaedt2014
AC090505.1,Eichstaedt2014
AC090505.4,Eichstaedt2014
AC106706.1,Eichstaedt2014
