gene_symbol,occurrence,studies
PBX1,2,Alkorta.Aranburu2012;Arciero2018
PRRX2,2,Alkorta.Aranburu2012;Arciero2018
RAPGEF5,2,Alkorta.Aranburu2012;Sheinfeldt2012
SAAL1,2,Alkorta.Aranburu2012;Sheinfeldt2012
TP53BP1,2,Alkorta.Aranburu2012;Sheinfeldt2012
TRPM3,2,Alkorta.Aranburu2012;Sheinfeldt2012
FRMD5,2,Alkorta.Aranburu2012;Sheinfeldt2012
CKMT1A,2,Alkorta.Aranburu2012;Sheinfeldt2012
GRINA,2,Alkorta.Aranburu2012;Gou2014
IRF6,2,Alkorta.Aranburu2012;Ortiz.Barahona2010HRElocations
ZNF496,2,Alkorta.Aranburu2012;Sheinfeldt2012
SPINT1,2,Alkorta.Aranburu2012;Halllist1
ARPC5,2,Alkorta.Aranburu2012;Sheinfeldt2012
MRGPRX3,2,Alkorta.Aranburu2012;Sheinfeldt2012
PTGES,2,Alkorta.Aranburu2012;Sheinfeldt2012
TUBGCP4,2,Alkorta.Aranburu2012;Sheinfeldt2012
ZSCAN29,2,Alkorta.Aranburu2012;Sheinfeldt2012
ALOX15,2,Alkorta.Aranburu2012;Bigham2014diffexprgenes
CKMT1B,2,Alkorta.Aranburu2012;Sheinfeldt2012
KIAA1279,2,Alkorta.Aranburu2012;Bigham2014diffexprgenes
NANS,2,Alkorta.Aranburu2012;Huerta.sanchez2013
OMD,2,Alkorta.Aranburu2012;Sheinfeldt2012
STRC,2,Alkorta.Aranburu2012;Sheinfeldt2012
BACE2,2,Alkorta.Aranburu2012;Sheinfeldt2012
DLL4,2,Alkorta.Aranburu2012;Ortiz.Barahona2010HRElocations
NUS1,2,Alkorta.Aranburu2012;Sheinfeldt2012
SEC24A,2,Alkorta.Aranburu2012;Ortiz.Barahona2010HRElocations
SMG7,2,Alkorta.Aranburu2012;Sheinfeldt2012
VPS41,2,Alkorta.Aranburu2012;Sheinfeldt2012
SAA3P,2,Alkorta.Aranburu2012;Sheinfeldt2012
TGM7,2,Alkorta.Aranburu2012;Sheinfeldt2012
TGM5,2,Alkorta.Aranburu2012;Sheinfeldt2012
ASF1B,2,Alkorta.Aranburu2012;Moore2017
NLRP14,2,Alkorta.Aranburu2012;Sheinfeldt2012
PCDHA8,2,Alkorta.Aranburu2012;Sheinfeldt2012
RBMXL2,2,Alkorta.Aranburu2012;Sheinfeldt2012
PCDHA2,2,Alkorta.Aranburu2012;Sheinfeldt2012
PCDHA5,2,Alkorta.Aranburu2012;Sheinfeldt2012
PCDHA7,2,Alkorta.Aranburu2012;Sheinfeldt2012
PCDHA10,2,Alkorta.Aranburu2012;Sheinfeldt2012
PCDHA12,2,Alkorta.Aranburu2012;Sheinfeldt2012
PCDHA3,2,Alkorta.Aranburu2012;Sheinfeldt2012
PCDHA11,2,Alkorta.Aranburu2012;Sheinfeldt2012
PCDHA13,2,Alkorta.Aranburu2012;Sheinfeldt2012
PCDHAC1,2,Alkorta.Aranburu2012;Sheinfeldt2012
C1orf101,2,Alkorta.Aranburu2012;Sheinfeldt2012
PCDHA9,2,Alkorta.Aranburu2012;Sheinfeldt2012
TRIM69,2,Alkorta.Aranburu2012;Sheinfeldt2012
ZNF214,2,Alkorta.Aranburu2012;Sheinfeldt2012
PCDHA1,2,Alkorta.Aranburu2012;Sheinfeldt2012
PCDHA4,2,Alkorta.Aranburu2012;Sheinfeldt2012
PCDHA6,2,Alkorta.Aranburu2012;Sheinfeldt2012
ACAD11,2,Alkorta.Aranburu2012;Sheinfeldt2012
ATP9B,2,Alkorta.Aranburu2012;Gou2014
HDDC3,2,Alkorta.Aranburu2012;Sheinfeldt2012
PRC1,2,Alkorta.Aranburu2012;Sheinfeldt2012
SLC36A3,2,Alkorta.Aranburu2012;Sheinfeldt2012
STEAP2,2,Alkorta.Aranburu2012;Sheinfeldt2012
TNPO1,2,Alkorta.Aranburu2012;Clemente2014
DNASE1L2,2,Alkorta.Aranburu2012;Gou2014
GPT,2,Alkorta.Aranburu2012;Gou2014
HIVEP2,2,Alkorta.Aranburu2012;Ortiz.Barahona2010HRElocations
KIAA0746,2,Alkorta.Aranburu2012;Ortiz.Barahona2010HRElocations
TP53I11,2,Alkorta.Aranburu2012;Sheinfeldt2012
WISP3,2,Alkorta.Aranburu2012;Sheinfeldt2012
APOBEC3G,2,Alkorta.Aranburu2012;Sheinfeldt2012
THAP10,2,Alkorta.Aranburu2012;Sheinfeldt2012
ADH1A,2,Alkorta.Aranburu2012;Huerta.sanchez2013
ADH1B,2,Alkorta.Aranburu2012;Huerta.sanchez2013
ADH6,2,Alkorta.Aranburu2012;Huerta.sanchez2013
ADH7,2,Alkorta.Aranburu2012;Yang2017
CSRP1,2,Alkorta.Aranburu2012;Arciero2018
ADH1C,2,Alkorta.Aranburu2012;Huerta.sanchez2013
MCTP1,2,Sheinfeldt2012;Ortiz.Barahona2010HRElocations
RCOR1,2,Sheinfeldt2012;Ortiz.Barahona2010HRElocations
ANXA10,2,Sheinfeldt2012;Udpa204
BCAS3,2,Sheinfeldt2012;Udpa204
TECPR1,2,Sheinfeldt2012;Gou2014
C16orf11,2,Sheinfeldt2012;Gou2014
PIGQ,2,Sheinfeldt2012;Gou2014
NHLRC4,2,Sheinfeldt2012;Gou2014
WFIKKN1,2,Sheinfeldt2012;Gou2014
FAM195A,2,Sheinfeldt2012;Gou2014
MSLN,2,Sheinfeldt2012;Gou2014
WDR90,2,Sheinfeldt2012;Gou2014
RHOT2,2,Sheinfeldt2012;Gou2014
RHBDL1,2,Sheinfeldt2012;Gou2014
JMJD8,2,Sheinfeldt2012;Gou2014
WDR24,2,Sheinfeldt2012;Gou2014
FBXL16,2,Sheinfeldt2012;Gou2014
METRN,2,Sheinfeldt2012;Gou2014
CCDC78,2,Sheinfeldt2012;Gou2014
HAGHL,2,Sheinfeldt2012;Gou2014
KATNA1,2,Sheinfeldt2012;Clemente2014
LATS1,2,Sheinfeldt2012;Clemente2014
NUP43,2,Sheinfeldt2012;Clemente2014
PCMT1,2,Sheinfeldt2012;Clemente2014
SH3GLB2,2,Sheinfeldt2012;Arciero2018
CAMTA2,2,Sheinfeldt2012;Gou2014
INCA1,2,Sheinfeldt2012;Gou2014
CASP3,2,Sheinfeldt2012;yulist2
CNTN4,2,Sheinfeldt2012;Arciero2018
TRDMT1,2,Sheinfeldt2012;Arciero2018
DCHS2,2,Sheinfeldt2012;Arciero2018
DGKB,2,Sheinfeldt2012;Arciero2018
DPYD,2,Sheinfeldt2012;Arciero2018
ELF1,2,Sheinfeldt2012;Arciero2018
EPB41L3,2,Sheinfeldt2012;Ortiz.Barahona2010HRElocations
ERC2,2,Sheinfeldt2012;Clemente2014
EXOC6B,2,Sheinfeldt2012;Clemente2014
FAM19A5,2,Sheinfeldt2012;Ortiz.Barahona2010HRElocations
FLNC,2,Sheinfeldt2012;Gou2014
IRF5,2,Sheinfeldt2012;Hu2017
GNG2,2,Sheinfeldt2012;Witt2019
GLI3,2,Sheinfeldt2012;Udpa204
GPC5,2,Sheinfeldt2012;Arciero2018
NDUFB10,2,Sheinfeldt2012;Gou2014
RNF151,2,Sheinfeldt2012;Gou2014
TBL3,2,Sheinfeldt2012;Gou2014
NOXO1,2,Sheinfeldt2012;Gou2014
GFER,2,Sheinfeldt2012;Gou2014
ID2,2,Sheinfeldt2012;Ortiz.Barahona2010HRElocations
IRX3,2,Sheinfeldt2012;Artigas2015
LRP11,2,Sheinfeldt2012;Clemente2014
SPATA7,2,Sheinfeldt2012;Clemente2014
LMTK2,2,Sheinfeldt2012;Gou2014
BHLHA15,2,Sheinfeldt2012;Gou2014
LOXL2,2,Sheinfeldt2012;yulist2
MAP2K3,2,Sheinfeldt2012;Udpa204
MAP4K4,2,Sheinfeldt2012;Ortiz.Barahona2010HRElocations
MAST4,2,Sheinfeldt2012;Arciero2018
MECOM,2,Sheinfeldt2012;Arciero2018
MORF4L1,2,Sheinfeldt2012;Ortiz.Barahona2010HRElocations
MSLNL,2,Sheinfeldt2012;Gou2014
RPUSD1,2,Sheinfeldt2012;Gou2014
CHTF18,2,Sheinfeldt2012;Gou2014
GNG13,2,Sheinfeldt2012;Gou2014
ABCA1,2,Sheinfeldt2012;Arciero2018
IER5L,2,Sheinfeldt2012;Ortiz.Barahona2010HRElocations
OR2L3,2,Sheinfeldt2012;Udpa204
PARD3,2,Sheinfeldt2012;Bigham2014diffexprgenes
PCMTD1,2,Sheinfeldt2012;Udpa204
DEPDC1B,2,Sheinfeldt2012;Clemente2014
PFKFB3,2,Sheinfeldt2012;Ortiz.Barahona2010HRElocations
PHACTR3,2,Sheinfeldt2012;Ortiz.Barahona2010HRElocations
FGB,2,Sheinfeldt2012;Crawford2017
FGA,2,Sheinfeldt2012;Crawford2017
FGG,2,Sheinfeldt2012;Crawford2017
PTPN21,2,Sheinfeldt2012;Clemente2014
PTPRN2,2,Sheinfeldt2012;Arciero2018
RARB,2,Sheinfeldt2012;Artigas2015
RBPJ,2,Sheinfeldt2012;yulist2
CCZ1,2,Sheinfeldt2012;Clemente2014
PAK4,2,Sheinfeldt2012;Arciero2018
SGK1,2,Sheinfeldt2012;Arciero2018
SYF2,2,Sheinfeldt2012;Udpa204
C1orf63,2,Sheinfeldt2012;Udpa204
RHD,2,Sheinfeldt2012;Udpa204
ZC3H12D,2,Sheinfeldt2012;Clemente2014
PPIL4,2,Sheinfeldt2012;Clemente2014
NEUROG1,2,Sheinfeldt2012;Gou2014
CXCL14,2,Sheinfeldt2012;Gou2014
TIGIT,2,Sheinfeldt2012;Bigham2014diffexprgenes
TLE1,2,Sheinfeldt2012;Arciero2018
TRPS1,2,Sheinfeldt2012;Udpa204
USP54,2,Sheinfeldt2012;Udpa204
SYNPO2L,2,Sheinfeldt2012;Arciero2018
WDR60,2,Sheinfeldt2012;Arciero2018
WNT7B,2,Sheinfeldt2012;Halllist1
PSMD8,2,Sheinfeldt2012;yulist2
ZNF704,2,Sheinfeldt2012;Udpa204
ZEB1,2,Sheinfeldt2012;Huerta.sanchez2013
ZNF699,2,Sheinfeldt2012;Clemente2014
ZNF559,2,Sheinfeldt2012;Clemente2014
ZNF177,2,Sheinfeldt2012;Clemente2014
ZNF367,2,Sheinfeldt2012;Udpa204
HABP4,2,Sheinfeldt2012;Udpa204
CDC14B,2,Sheinfeldt2012;Udpa204
DNMT3B,2,Sheinfeldt2012;yulist2
AGAP1,2,Sheinfeldt2012;Udpa204
BCAN,2,Sheinfeldt2012;Bigham2014diffexprgenes
ARHGEF3,2,Sheinfeldt2012;Arciero2018
BACH2,2,Sheinfeldt2012;Arciero2018
TMEM50A,2,Sheinfeldt2012;Udpa204
RHCE,2,Sheinfeldt2012;Arciero2018
CALU,2,Sheinfeldt2012;Gou2014
OPN1SW,2,Sheinfeldt2012;Gou2014
CCDC136,2,Sheinfeldt2012;Gou2014
WDR67,2,Sheinfeldt2012;Udpa204
FAM83A,2,Sheinfeldt2012;Udpa204
DPP10,2,Sheinfeldt2012;Udpa204
FBXO42,2,Sheinfeldt2012;Ortiz.Barahona2010HRElocations
C8orf76,2,Sheinfeldt2012;Udpa204
IGF1R,2,Sheinfeldt2012;Ortiz.Barahona2010HRElocations
KLRAQ1,2,Sheinfeldt2012;Udpa204
STON1,2,Sheinfeldt2012;Udpa204
L3MBTL4,2,Sheinfeldt2012;Udpa204
RBM28,2,Sheinfeldt2012;Gou2014
MDGA2,2,Sheinfeldt2012;Ortiz.Barahona2010HRElocations
EMID2,2,Sheinfeldt2012;Ortiz.Barahona2010HRElocations
KCNC1,2,Sheinfeldt2012;Ortiz.Barahona2010HRElocations
NEGR1,2,Sheinfeldt2012;Ortiz.Barahona2010HRElocations
NRG1,2,Sheinfeldt2012;Clemente2014
NXPH1,2,Sheinfeldt2012;Ortiz.Barahona2010HRElocations
BMPR1A,2,Sheinfeldt2012;Bigham2014diffexprgenes
RAP1GAP2,2,Sheinfeldt2012;Arciero2018
RAP1A,2,Sheinfeldt2012;Yang2017
PAPPA,2,Sheinfeldt2012;Ortiz.Barahona2010HRElocations
PDHA2,2,Sheinfeldt2012;Clemente2014
PEBP4,2,Sheinfeldt2012;Ortiz.Barahona2010HRElocations
PHF20L1,2,Sheinfeldt2012;Clemente2014
LRRC6,2,Sheinfeldt2012;Clemente2014
TMEM71,2,Sheinfeldt2012;Clemente2014
POLB,2,Sheinfeldt2012;Huerta.sanchez2013
PPP1R12B,2,Sheinfeldt2012;Gou2014
PTBP2,2,Sheinfeldt2012;Ortiz.Barahona2010HRElocations
PTPRT,2,Sheinfeldt2012;Udpa204
MYADML2,2,Sheinfeldt2012;Gou2014
NOTUM,2,Sheinfeldt2012;Gou2014
ASPSCR1,2,Sheinfeldt2012;Gou2014
RAC3,2,Sheinfeldt2012;Huerta.sanchez2013
DCXR,2,Sheinfeldt2012;Huerta.sanchez2013
RFNG,2,Sheinfeldt2012;Huerta.sanchez2013
GPS1,2,Sheinfeldt2012;Huerta.sanchez2013
DUS1L,2,Sheinfeldt2012;Huerta.sanchez2013
RBFOX3,2,Sheinfeldt2012;Arciero2018
RGS9,2,Sheinfeldt2012;Arciero2018
ALAD,2,Sheinfeldt2012;yulist2
ROBO1,2,Sheinfeldt2012;Udpa204
SGMS1,2,Sheinfeldt2012;Arciero2018
SLC25A24,2,Sheinfeldt2012;Arciero2018
SLC25A36,2,Sheinfeldt2012;Ortiz.Barahona2010HRElocations
DDX4,2,Sheinfeldt2012;Ortiz.Barahona2010HRElocations
SOX12,2,Sheinfeldt2012;Ortiz.Barahona2010HRElocations
SLCO5A1,2,Sheinfeldt2012;Ortiz.Barahona2010HRElocations
CBX6,2,Sheinfeldt2012;Udpa204
TGOLN2,2,Sheinfeldt2012;Arciero2018
RETSAT,2,Sheinfeldt2012;Hu2017
TTC23L,2,Sheinfeldt2012;Arciero2018
UBE2T,2,Sheinfeldt2012;Gou2014
ZNF236,2,Sheinfeldt2012;Hu2017
C16orf13,2,Sheinfeldt2012;Gou2014
IRF2,2,Sheinfeldt2012;Arciero2018
SMYD3,2,Sheinfeldt2012;Arciero2018
ADAM28,2,Sheinfeldt2012;Udpa204
GPR25,2,Sheinfeldt2012;Ortiz.Barahona2010HRElocations
CDK6,2,Sheinfeldt2012;Arciero2018
EXD2,2,Sheinfeldt2012;Arciero2018
DPP8,2,Sheinfeldt2012;Udpa204
PTPLAD1,2,Sheinfeldt2012;Udpa204
GSK3B,2,Sheinfeldt2012;Clemente2014
HOOK3,2,Sheinfeldt2012;Bigham2014diffexprgenes
KLHDC1,2,Sheinfeldt2012;Udpa204
KLHDC2,2,Sheinfeldt2012;Udpa204
ANKRD6,2,Sheinfeldt2012;Arciero2018
NFE2L1,2,Sheinfeldt2012;Ortiz.Barahona2010HRElocations
PAQR5,2,Sheinfeldt2012;Udpa204
OR10V1,2,Sheinfeldt2012;Huerta.sanchez2013
STX3,2,Sheinfeldt2012;Huerta.sanchez2013
MRPL16,2,Sheinfeldt2012;Huerta.sanchez2013
PFKP,2,Sheinfeldt2012;Ortiz.Barahona2010HRElocations
PLEKHG4,2,Sheinfeldt2012;Clemente2014
KCTD19,2,Sheinfeldt2012;Clemente2014
LRRC36,2,Sheinfeldt2012;Clemente2014
RHEB,2,Sheinfeldt2012;Bigham2014diffexprgenes
ROD1,2,Sheinfeldt2012;Udpa204
TXNRD2,2,Sheinfeldt2012;Halllist1
PSMB10,2,Sheinfeldt2012;yulist2
AMZ1,2,Sheinfeldt2012;Arciero2018
GNA12,2,Sheinfeldt2012;Arciero2018
TYW1B,2,Sheinfeldt2012;Udpa204
ADAMTS18,2,Sheinfeldt2012;Arciero2018
GRAMD1C,2,Sheinfeldt2012;Ortiz.Barahona2010HRElocations
C18orf34,2,Sheinfeldt2012;Udpa204
HP1BP3,2,Sheinfeldt2012;yulist2
EPHB1,2,Sheinfeldt2012;Ortiz.Barahona2010HRElocations
GUCY2C,2,Sheinfeldt2012;Udpa204
GPI,2,Sheinfeldt2012;Ortiz.Barahona2010HRElocations
RSBN1,2,Sheinfeldt2012;Ortiz.Barahona2010HRElocations
3,2,Sheinfeldt2012;Bigham2014diffexprgenes
F7,2,Sheinfeldt2012;yulist2
KLF7,2,Sheinfeldt2012;Ortiz.Barahona2010HRElocations
LRRC4,2,Sheinfeldt2012;Gou2014
PACS2,2,Sheinfeldt2012;Udpa204
PIAS1,2,Sheinfeldt2012;Clemente2014
CALML4,2,Sheinfeldt2012;Clemente2014
CLN6,2,Sheinfeldt2012;Clemente2014
POLG2,2,Sheinfeldt2012;Huerta.sanchez2013
DDX5,2,Sheinfeldt2012;Huerta.sanchez2013
CEP95,2,Sheinfeldt2012;Huerta.sanchez2013
C22orf40,2,Sheinfeldt2012;Udpa204
PKDREJ,2,Sheinfeldt2012;Udpa204
TTC38,2,Sheinfeldt2012;Udpa204
GTSE1,2,Sheinfeldt2012;Udpa204
ANKRD45,2,Sheinfeldt2012;Clemente2014
PSMB7,2,Sheinfeldt2012;yulist2
SORCS2,2,Sheinfeldt2012;Arciero2018
ADAMTSL4,2,Sheinfeldt2012;Artigas2015
MCL1,2,Sheinfeldt2012;Artigas2015
ENSA,2,Sheinfeldt2012;Artigas2015
ATM,2,Sheinfeldt2012;yulist2
PVRL2,2,Sheinfeldt2012;Bigham2014diffexprgenes
SETDB1,2,Sheinfeldt2012;Artigas2015
HLA-G,2,Sheinfeldt2012;Udpa204
HLA-F-AS1,2,Sheinfeldt2012;Arciero2018
HCG4,2,Sheinfeldt2012;Arciero2018
HLA-H,2,Sheinfeldt2012;Udpa204
TTC39C,2,Sheinfeldt2012;Arciero2018
LRRC37A3,2,Sheinfeldt2012;Udpa204
UVRAG,2,Sheinfeldt2012;Ortiz.Barahona2010HRElocations
MED13L,2,Sheinfeldt2012;Artigas2015
SVOP,2,Sheinfeldt2012;Udpa204
NCOR1,2,Sheinfeldt2012;Artigas2015
CABP7,2,Sheinfeldt2012;Arciero2018
OR2T10,2,Sheinfeldt2012;Udpa204
PPP1R9A,2,Sheinfeldt2012;Ortiz.Barahona2010HRElocations
PPP3CB,2,Sheinfeldt2012;Udpa204
ZMYND17,2,Sheinfeldt2012;Udpa204
ANXA7,2,Sheinfeldt2012;Udpa204
RALGAPA1,2,Sheinfeldt2012;Clemente2014
NGLY1,2,Sheinfeldt2012;yulist2
SHB,2,Sheinfeldt2012;Ortiz.Barahona2010HRElocations
RCOR2,2,Sheinfeldt2012;Ortiz.Barahona2010HRElocations
CABYR,2,Sheinfeldt2012;Arciero2018
UBE4B,2,Sheinfeldt2012;Arciero2018
ZNF609,2,Sheinfeldt2012;Huerta.sanchez2013
OAZ2,2,Sheinfeldt2012;Huerta.sanchez2013
ADAMTS3,2,Sheinfeldt2012;Udpa204
NPFFR2,2,Sheinfeldt2012;Udpa204
NFIL3,2,Sheinfeldt2012;Ortiz.Barahona2010HRElocations
BAI3,2,Sheinfeldt2012;Clemente2014
PSMA2,2,Sheinfeldt2012;yulist2
CCDC102B,2,Sheinfeldt2012;Udpa204
FTO,2,Sheinfeldt2012;Artigas2015
INSM2,2,Sheinfeldt2012;Clemente2014
OR9A2,2,Sheinfeldt2012;Udpa204
SELP,2,Sheinfeldt2012;Bigham2014diffexprgenes
JAM2,2,Sheinfeldt2012;Bigham2014diffexprgenes
CLCN3,2,Sheinfeldt2012;Arciero2018
NR3C1,2,Sheinfeldt2012;Ortiz.Barahona2010HRElocations
PSMB8,2,Sheinfeldt2012;yulist2
PSMB9,2,Sheinfeldt2012;yulist2
TRPC1,2,Sheinfeldt2012;Ortiz.Barahona2010HRElocations
SLMAP,2,Sheinfeldt2012;Clemente2014
SPAG6,2,Sheinfeldt2012;Udpa204
UGP2,2,Sheinfeldt2012;Ortiz.Barahona2010HRElocations
C8orf46,2,Sheinfeldt2012;Arciero2018
ANKRD26P1,2,Sheinfeldt2012;Udpa204
SHCBP1,2,Sheinfeldt2012;Udpa204
APPBP2,2,Sheinfeldt2012;Udpa204
PPM1D,2,Sheinfeldt2012;Udpa204
TSPAN16,2,Sheinfeldt2012;Arciero2018
TIAM2,2,Sheinfeldt2012;Clemente2014
ASXL3,2,Sheinfeldt2012;Ortiz.Barahona2010HRElocations
C16orf87,2,Sheinfeldt2012;Udpa204
C2orf88,2,Sheinfeldt2012;Gou2014
HIBCH,2,Sheinfeldt2012;Gou2014
ZNF510,2,Sheinfeldt2012;Udpa204
ZNF782,2,Sheinfeldt2012;Udpa204
RPH3AL,2,Sheinfeldt2012;Arciero2018
KCMF1,2,Sheinfeldt2012;Udpa204
KRTAP4-4,2,Sheinfeldt2012;Udpa204
KRTAP4-3,2,Sheinfeldt2012;Udpa204
KRTAP4-2,2,Sheinfeldt2012;Udpa204
KRTAP4-1,2,Sheinfeldt2012;Udpa204
KRTAP9-1,2,Sheinfeldt2012;Udpa204
BCL7C,2,Sheinfeldt2012;Arciero2018
OR4C13,2,Sheinfeldt2012;Huerta.sanchez2013
XPNPEP1,2,Sheinfeldt2012;Ortiz.Barahona2010HRElocations
ASIP,2,Sheinfeldt2012;Gou2014
AHCY,2,Sheinfeldt2012;yulist2
SNORA64,2,Sheinfeldt2012;Gou2014
TOM1,2,Sheinfeldt2012;Udpa204
BAI1,2,Sheinfeldt2012;Gou2014
C21orf90,2,Sheinfeldt2012;Udpa204
C17orf64,2,Sheinfeldt2012;Udpa204
KNTC1,2,Sheinfeldt2012;Hu2017
MYEF2,2,Huerta.sanchez2013;Udpa204
SLC24A5,2,Huerta.sanchez2013;Udpa204
PSMA5,2,Huerta.sanchez2013;yulist2
ALAS2,2,Huerta.sanchez2013hypoxgeneset;yulist2
CD24,2,Huerta.sanchez2013hypoxgeneset;yulist2
CRYAB,2,Huerta.sanchez2013hypoxgeneset;yulist2
MT-CYB,2,Huerta.sanchez2013hypoxgeneset;yulist2
MT-ND4,2,Huerta.sanchez2013hypoxgeneset;yulist2
MT-ND5,2,Huerta.sanchez2013hypoxgeneset;yulist2
PAM,2,Huerta.sanchez2013hypoxgeneset;yulist2
SCAP,2,Huerta.sanchez2013hypoxgeneset;yulist2
SCFD1,2,Huerta.sanchez2013hypoxgeneset;yulist2
UCP2,2,Huerta.sanchez2013hypoxgeneset;yulist2
FRMD4B,2,Udpa204;Arciero2018
PDE7B,2,Udpa204;Arciero2018
TRIM48,2,Udpa204;Hu2017
KCNT2,2,Udpa204;Arciero2018
IKZF4,2,Udpa204;Gou2014
LRGUK,2,Udpa204;Gou2014
PRSS33,2,Udpa204;Gou2014
ZG16B,2,Udpa204;Gou2014
WIBG,2,Udpa204;Gou2014
DGKA,2,Udpa204;Gou2014
PSMB2,2,Udpa204;yulist2
ZDHHC9,2,Udpa204;Ortiz.Barahona2010HRElocations
SNX24,2,Udpa204;Clemente2014
CNTNAP3,2,Udpa204;Hu2017
EPHA7,2,Udpa204;Bigham2014diffexprgenes
NPAS3,2,Artigas2015;Ortiz.Barahona2010HRElocations
SLC14A2,2,Artigas2015;Arciero2018
RIMS1,2,Artigas2015;Clemente2014
SLC24A4,2,Artigas2015;Arciero2018
SLC52A3,2,O.Brien2019;Arciero2018
VDR,2,O.Brien2019;Moore2017
CYP3A,2,Arciero2018;Witt2019
HMBS,2,Arciero2018;halllist2
HOXA11,2,Arciero2018;Ortiz.Barahona2010HRElocations
MKL1,2,Arciero2018;Witt2019
TLL1,2,Arciero2018;Bigham2014diffexprgenes
GRB2,2,Arciero2018;Witt2019
ZNF532,2,Arciero2018;Halllist1
OBSCN,2,Arciero2018;Hu2017
STMN2,2,Arciero2018;Bigham2014diffexprgenes
TMEM247,2,Arciero2018;Hu2017
ARHGAP24,2,Arciero2018;Clemente2014
DSCAML1,2,Arciero2018;Ortiz.Barahona2010HRElocations
PTPRR,2,Arciero2018;Ortiz.Barahona2010HRElocations
RIMS2,2,Arciero2018;Clemente2014
SCN5A,2,Arciero2018;Clemente2014
SLC9A2,2,Arciero2018;Gou2014
SPAG7,2,Arciero2018;Gou2014
MYO5B,2,Hu2017;Halllist1
KMT2C,2,Hu2017;Clemente2014
SLC8A3,2,yulist1;yulist2
CXCL12,2,yulist1;yulist2
AQP3,2,yulist1;yulist2
PSMA6,2,yulist1;yulist2
ADSL,2,yulist1;yulist2
CHCHD2,2,yulist1;yulist2
PSMB5,2,yulist1;yulist2
FIS1,2,yulist1;yulist2
PSMB6,2,yulist1;yulist2
PSMB3,2,yulist1;yulist2
TEK,2,yulist1;yulist2
TIGAR,2,yulist1;yulist2
TRPC6,2,yulist1;yulist2
TGFBR2,2,yulist1;yulist2
SUV39H2,2,yulist1;yulist2
PENK,2,yulist1;yulist2
PSMC4,2,yulist1;yulist2
PSMC1,2,yulist1;yulist2
P2RX2,2,yulist1;yulist2
PPARD,2,yulist1;yulist2
PSMD3,2,yulist1;yulist2
PAK1,2,yulist1;yulist2
PSMD7,2,yulist1;yulist2
PSME4,2,yulist1;yulist2
PSMB11,2,yulist1;yulist2
ZFP36L1,2,yulist1;yulist2
PSMD14,2,yulist1;yulist2
PSMD12,2,yulist1;yulist2
PHB2,2,yulist1;yulist2
ENDOG,2,yulist1;yulist2
CIAO3,2,yulist1;yulist2
ELOB,2,yulist1;yulist2
ELOC,2,yulist1;yulist2
BDNF,2,yulist1;Witt2019
PSMC3,2,Bigham2014canidatelist;yulist2
MAFF,2,Bigham2014diffexprgenes;Ortiz.Barahona2010HRElocations
 EGLN1,2,Witt2019;Witt2019
ANKH,2,Witt2019;Halllist1
MAFG,2,Witt2019;Gou2014
ENO3,2,Witt2019;Gou2014
B3GAT1,2,Gou2014;yulist2
ELF3,2,Gou2014;Ortiz.Barahona2010HRElocations
FGF11,2,Gou2014;Ortiz.Barahona2010HRElocations
HSF1,2,Gou2014;yulist2
IPO9,2,Gou2014;Ortiz.Barahona2010HRElocations
MKNK2,2,Gou2014;Ortiz.Barahona2010HRElocations
PLEKHN1,2,Gou2014;yulist2
RNF41,2,Gou2014;Li2018
SLC2A4,2,Gou2014;yulist2
REST,2,Halllist1;yulist2
FAM213A,2,Halllist1;Moore2017
SFTPD,2,Halllist1;Moore2017
ACAA2,2,Halllist1;yulist2
SIRT2,2,Halllist1;yulist2
TM9SF4,2,yulist2;Ortiz.Barahona2010HRElocations
SLC2A1,2,yulist2;Ortiz.Barahona2010HRElocations
MYB,2,yulist2;Ortiz.Barahona2010HRElocations
NOL3,2,yulist2;Clemente2014
ALKBH5,2,yulist2;Ortiz.Barahona2010HRElocations
PGK1,2,yulist2;Ortiz.Barahona2010HRElocations
COX4I2,2,yulist2;Ortiz.Barahona2010HRElocations
IQCH,2,Clemente2014;Ortiz.Barahona2010HRElocations
TBX15,2,Clemente2014;Ortiz.Barahona2010HRElocations
ADRA1A,1,Bigham2009
AK056561,1,Bigham2009
C17orf54,1,Bigham2009
CPNE4,1,Bigham2009
GFRA1,1,Bigham2009
INPP5D,1,Bigham2009
KCNK5,1,Bigham2009
KIAA1026,1,Bigham2009
PEX14,1,Bigham2009
POLRA,1,Bigham2009
RP5-1022P6.2,1,Bigham2009
SLC4A8,1,Bigham2009
TMEM169,1,Bigham2009
ACCSL,1,Eichstaedt2017
ADAM7,1,Eichstaedt2017
AFP,1,Eichstaedt2017
AGO4,1,Eichstaedt2017
AHSA2,1,Eichstaedt2017
AL591025.1,1,Eichstaedt2017
ANKRD36,1,Eichstaedt2017
APBB1IP,1,Eichstaedt2017
ASCL5,1,Eichstaedt2017
ATP6V0D2,1,Eichstaedt2017
BRCA2,1,Eichstaedt2017
BX088651.2,1,Eichstaedt2017
C10orf112,1,Eichstaedt2017
C1orf50,1,Eichstaedt2017
RP5-994D16.9,1,Eichstaedt2017
C6orf1,1,Eichstaedt2017
CCDC40,1,Eichstaedt2017
CD8A,1,Eichstaedt2017
CD8B,1,Eichstaedt2017
CHD7,1,Eichstaedt2017
